model,question_id,question,answer_length,latency,throughput,cosine_similarity,precision,entity_overlap_truth,hallucination_count,has_hallucination,error
llama2:latest,1,What is the recommended first-line therapy for lipid lowering in patients with chronic coronary dise,112,79.08289862,1.841106011,0.515891093,0.5,1,0,FALSE,
llama2:latest,2,When is long-term beta-blocker therapy NOT recommended for improving outcomes in patients with chron,221,108.5720146,2.646169928,0.484174418,1,0.5,0,TRUE,
llama2:latest,3,"For patients with CCD and type 2 diabetes, what two classes of glucose-lowering medications are reco",176,98.70264888,2.318073553,0.452085611,1,1,0,FALSE,
llama2:latest,4,"In patients with CCD and angina, what are the recommended first-line anti-anginal therapies for symp",285,126.0986695,2.93817533,0.353077864,1,0.2,0,TRUE,
llama2:latest,5,What are the four medication classes that make up guideline-directed medical therapy (GDMT) for hear,247,107.9303877,2.975065751,0.117129294,0,0,0,FALSE,
llama2:latest,6,How is heart failure with preserved ejection fraction (HFpEF) defined in terms of left ventricular e,420,173.6233187,3.144738876,0.177213285,0.2,1,1,TRUE,
llama2:latest,7,What are the criteria for implantable cardioverter-defibrillator (ICD) therapy for primary preventio,313,137.435899,2.960652951,0.299171669,0.666666667,0.4,0,FALSE,
llama2:latest,8,What diagnostic biomarker tests are recommended for patients presenting with dyspnea to support or e,289,151.24301,2.484081743,0.258026044,0.75,1,0,FALSE,
llama2:latest,9,What is the definition of hypertension according to office blood pressure measurements?,81,64.83955884,1.624008582,0.396933716,1,1,0,FALSE,
llama2:latest,10,What are the recommended LDL-C (low-density lipoprotein cholesterol) goals for patients with establi,158,89.36842942,2.298350786,0.363965203,0.111111111,0.333333333,2,TRUE,
llama2:latest,11,"What is the recommended physical activity for adults to reduce all-cause mortality, CV mortality, an",312,164.8951972,2.459744171,0.328773883,0,0,1,TRUE,
llama2:latest,12,What is the recommended maximum alcohol consumption per week for cardiovascular disease prevention?,45,48.30694246,1.211006059,0.660241037,0,0,0,FALSE,
llama2:latest,13,"According to the 2020 ACC/AHA guidelines, what are the stages of valvular heart disease and their de",269,114.8516991,3.044796052,0.299115742,0,0,2,TRUE,
llama2:latest,14,"In patients with atrial fibrillation and valvular heart disease, what is the recommended anticoagula",208,82.06511474,3.294944519,0.341987715,0,0,0,FALSE,
llama2:latest,15,"According to the guidelines, what are the indications for transcatheter aortic valve implantation (T",272,101.7965088,3.473596533,0.287064366,0.5,0.285714286,2,TRUE,
llama2:latest,16,What is the recommended management for asymptomatic patients with chronic severe aortic regurgitatio,168,58.25446725,3.749068703,0.32376335,1,1,0,FALSE,
llama2:latest,17,"For an adult patient with hypertension and chronic kidney disease, what blood pressure treatment goa",63,54.26250839,1.509329414,0.46121913,0,0,0,FALSE,
llama2:latest,18,"For primary prevention in a 40-75 year old adult with diabetes mellitus, what intensity of statin th",197,109.7961364,2.332504662,0.130273362,0.5,1,0,FALSE,
mistral:latest,1,What is the recommended first-line therapy for lipid lowering in patients with chronic coronary dise,152,102.2442639,1.932626756,0.560276221,0.666666667,1,0,FALSE,
mistral:latest,2,When is long-term beta-blocker therapy NOT recommended for improving outcomes in patients with chron,129,56.09669065,2.989481163,0.525114481,0.8,1,0,TRUE,
mistral:latest,3,"For patients with CCD and type 2 diabetes, what two classes of glucose-lowering medications are reco",162,67.74444222,3.108742106,0.440559613,0.4,1,1,TRUE,
mistral:latest,4,"In patients with CCD and angina, what are the recommended first-line anti-anginal therapies for symp",77,40.75252962,2.45628924,0.193861438,1,0.2,0,FALSE,
mistral:latest,5,What are the four medication classes that make up guideline-directed medical therapy (GDMT) for hear,66,47.86507201,1.792538826,0.416081344,0.5,0.2,0,FALSE,
mistral:latest,6,How is heart failure with preserved ejection fraction (HFpEF) defined in terms of left ventricular e,148,53.61149716,3.588782447,0.179257472,0.333333333,1,0,FALSE,
mistral:latest,7,What are the criteria for implantable cardioverter-defibrillator (ICD) therapy for primary preventio,214,74.13063002,3.752834691,0.353492189,0.666666667,0.4,0,FALSE,
mistral:latest,8,What diagnostic biomarker tests are recommended for patients presenting with dyspnea to support or e,149,64.55099106,3.000728522,0.284761541,1,1,0,FALSE,
mistral:latest,9,What is the definition of hypertension according to office blood pressure measurements?,152,64.25261521,3.075361203,0.567265546,0.222222222,0.666666667,3,TRUE,
mistral:latest,10,What are the recommended LDL-C (low-density lipoprotein cholesterol) goals for patients with establi,155,66.5017271,3.029996494,0.342128864,0.142857143,0.333333333,2,TRUE,
mistral:latest,11,"What is the recommended physical activity for adults to reduce all-cause mortality, CV mortality, an",219,84.31987119,3.376428308,0.409820108,0,0,0,FALSE,
